nss 3.124-1
nvidia-open-dkms 595.71.05-2
nvidia-utils 595.71.05-2
nwg-look 1.1.1-1
obsidian 1.12.7-2
ocl-icd 2.3.4-1
onetbb 2023.0.0-1
oniguruma 6.9.10-1
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openssh 10.3p1-1
openssl 3.6.2-2
openxr 1.1.59.1-1
opus 1.6.1-1
orc 0.4.42-1
osinfo-db 20251212-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260406-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.1-1
pangomm 2.46.4-2
parted 3.7-1
patch 2.8-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.2-2
pipewire 1:1.6.5-1
pipewire-alsa 1:1.6.5-1
pipewire-audio 1:1.6.5-1
pipewire-jack 1:1.6.5-1
pipewire-pulse 1:1.6.5-1
pipewire-session-manager 1:1.6.5-1
pixman 0.46.4-1
pkgconf 2.5.1-1
plasma-activities 6.6.5-1
playerctl 2.4.1-5
pnpm 10.33.4-1
polkit 127-3
polkit-qt6 0.201.1-1
poppler 26.05.0-1
poppler-glib 26.05.0-1
poppler-qt6 26.05.0-1
popt 1.19-2
portaudio 1:19.7.0-4
pps-tools 1.0.3-2
procps-ng 4.0.6-1
psmisc 23.7-2
pugixml 1.15-3
python 3.14.5-1
python-dbus 1.4.0-2
python-libevdev 0.13.1-1
python-pyqt5 5.15.11-7
python-pyqt5-sip 12.18.0-1
python-pyudev 0.24.4-1
python-pyxdg 0.28-7
python-yaml 6.0.3-2
qca-qt6 2.3.10-6
qqc2-desktop-style 6.26.0-1
qt5-base 5.15.19+kde+r96-1
qt5-translations 5.15.19-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-declarative 6.11.1-2
qt6-graphs 6.11.1-1
qt6-multimedia 6.11.1-1
qt6-multimedia-ffmpeg 6.11.1-1
qt6-quick3d 6.11.1-1
qt6-quicktimeline 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
qt6-translations 6.11.1-1
qt6-wayland 6.11.1-1
qt6ct 0.11-6
quickshell 0.3.0-1
raptor 2.0.16-9
rasqal 1:0.9.33-8
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
redland 1:1.0.17-10
ripgrep 15.1.0-3
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rtkit 0.14-1
rubberband 4.0.0-2
runc 1.4.2-1
rust 1:1.95.0-1
sbc 2.2-1
sbctl 0.18-1
sdbus-cpp 2.3.1-1
sddm 0.21.0-6
sdl2-compat 2.32.68-1
sdl3 3.4.8-1
seatd 0.9.3-1
sed 4.10-1
semver 7.8.1-1
serd 0.32.8-1
shaderc 2026.2-1
shadow 4.18.0-1
shared-mime-info 2.4-3
signal-desktop 8.11.0-1
simdjson 1:4.6.4-1
slang 2.3.3-4
smbclient 2:4.24.2-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
solid 6.26.0-1
sonnet 6.26.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-18
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.350.0-1
sqlite 3.53.1-1
sratom 0.6.22-1
srt 1.5.5-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
syndication 6.26.0-1
syntax-highlighting 6.26.0-1
systemd 260.1-2
systemd-libs 260.1-2
systemd-sysvcompat 260.1-2
taglib 2.3-1
talloc 2.4.4-1
tar 1.35-2
tdb 1.4.15-1
terminus-font 4.49.1-8
tevent 1:0.17.1-2
texinfo 7.3-1
tinysparql 3.11.1-1
tmux 3.6_b-2
tomlplusplus 3.4.0-2
totem-pl-parser 3.26.7-1
tpm2-tss 4.1.3-1
tree-sitter 0.26.9-1
